index,utterance_idx,utterance,video_id,sentiment
376,17.0,AND BE THIS REALLY QUIRKY LITTLE CHAMELEON,WKA5OygbEKI,0.4
83,3.0, AND I HAVE TO ADMIT I I LIKE SHREK I DO,k5Y_838nuGo,0.8
1025,16.0,SHE LOOKED PHENOMENAL,7JsX8y1ysxY,2.2
790,13.0,AND THERE WAS MAYBE ONE TIME WHEN I THOUGHT I ACTUALLY HEARD RUSSELL BRAND HIMSELF ,9J25DZhivz8,-0.25
813,11.0,WHICH BASICALLY MEANS HES WORMTONGUE AGAIN IN A DIFFERENT WAY,vyB00TXsimI,-0.2
1224,28.0,AND UH THIS MOVIE I WAS NOT LOOKING FORWARD TO SEE THIS MOVIE,ZUXBRvtny7o,-1.2
213,11.0,THEY JUST NEED TO CUT THAT OUT,f9O3YtZ2VfI,-0.8
530,13.0,BUT IN THIS MOVIE HE WASNT GOOD AT ALL,d6hH302o4v8,-2.0
1324,6.0,AND I LIKE HOW IT SHOWS,cW1FSBF59ik,1.2
468,19.0, WHENEVER IT COMES TO YOUR TOWN DO NOT MISS IT,5W7Z1C_fDaE,2.8
1033,24.0,UM HE WAS AWESOME,7JsX8y1ysxY,2.4
304,23.0,UM SOMETHING LIKE WHAT I DO LIKE IF I JUMP A LOT,Clx4VXItLTE,1.75
1192,22.0, TERIFFIC IN THAT,BvYR0L6f2Ig,-1.0
902,11.0,THAT YOU RESPECT THAT JOE WRIGHT TRIED TO DO SOMETHING COMPLETELY DIFFERENT HERE,Iu2PFX3z_1s,1.2
294,13.0,BUT ITS JUST SOMETIMES ITS JUST A LITTLE BIT LIKE OH GOD THEY REALY SHOULDNT HAVE DONE THAT CRINGE ,Clx4VXItLTE,-0.6
1016,7.0,UM THERE COULDVE BEEN LESS BLUE NUDITY ,7JsX8y1ysxY,-1.6
669,4.0,UM IT JUST GOES TO SHOW THAT YOU REALLY CANT TRUST ANYONE IN THIS SITUATION,d3_k5Xpfmik,-1.0
1217,21.0,AND UH I AM LOOKING FORWARD TO SEE A SEQUEL OF THIS MOVIE,ZUXBRvtny7o,2.0
405,24.0,THERES NOT LIKE A REALLY GOOD TWIST,I5y0__X72p0,-2.0
978,13.0,ITS A GREAT ONE,6_0THN4chvY,2.2
1436,18.0,IN YOU KNOW THEYRE IN THERE THIS IS A CHEEZY UM MOVIE ,wMbj6ajWbic,-1.0
1384,10.0,UM ONE OF THE BIG THINGS I WAS DISAPPOINTED THOUGH WAS I FELT THAT THEY COULDVE DONE A LOT MORE WITH 3D,Qr1Ca94K55A,-1.6
717,5.0,BUT I JUST WASNT I JUST I DONT KNOW I DIDNT REALLY LIKE THE MOVIE ALL THAT MUCH,zhpQhgha_KU,-2.2
714,2.0,AND I LIKED THE FIRST MOVIE I THOUGHT THE FIRST MOVIE WAS REALLY GOOD,zhpQhgha_KU,1.6
919,12.0, I DONT REALLY FEEL ANY EMOTIONAL PULL FROM HIM IN THIS MOVIE,nzpVDcQ0ywM,-1.4
44,4.0, BUT NOT A WHOLE BUNCH ,03bSnISJMiM,-1.75
1351,9.0,SO UM I GUESS PEOPLE JUST WANT TO SEE UM COMPUTER ANIMATED FILMS FROM NOW ON ,cM3Yna7AavY,-0.2
1497,10.0,I DIDNT THINK IT WAS SAD,tStelxIAHjw,-0.4
815,13.0,AND SHE IS A REALLY PRETTY GIRL,vyB00TXsimI,2.4
1175,5.0,SO IT WAS JUST ABOUT EQUAL TO THE FIRST ONE,BvYR0L6f2Ig,-0.2
982,3.0,BUT I DO THINK ITS A VERY INTERESTING ONE,QN9ZIUWUXsY,1.2
890,24.0,IT JUST IT FELT KIND OF CUT AND DRY ,bvLlb-M3UXU,-1.4
428,8.0,ACTUALLY THE ACTING IS OK ,LSi-o-IrDMs,0.4
542,25.0,MADE NO SENSE,d6hH302o4v8,-1.6
894,3.0,HE TAKES GREAT ACTORS OR ACRESSES IN THIS CASE LIKE SAOIRSE RONAN AND CATE BLANCHETT,Iu2PFX3z_1s,1.4
404,23.0,IT DOESNT HAVE A DEEP SEEDED PLOT ,I5y0__X72p0,-2.0
215,13.0, TH WE DO NOT NEED THE ENTIRE SPAN BIRTH TO DEATH ,f9O3YtZ2VfI,-1.6
1034,25.0,LIKE HE WAS INCREDIBLE,7JsX8y1ysxY,2.6
464,15.0,ITS A HORROR FILM IA A TRUE SENSE,5W7Z1C_fDaE,0.25
80,27.0,AND THEY WERE ALL JUST REALLY BLAND AND FORGETTABLE,jUzDDGyPkXU,-2.0
1346,4.0, I HAD SOME HIGH EXP O MAYBE NOT HIGH EXPECTATIONS PER SE BUT I WAS DEFINATELY EXPECTING THIS TO BE A GOOD MOVIE,cM3Yna7AavY,0.6
1329,11.0, LAUGHING HE CERTAINLY DOESNT FIT THE BILL EITHER FOR ANY MARVEL MOVIE UM ZERO,cW1FSBF59ik,-1.0
783,6.0,THIS WAS PROBABLY THE BEST 3D MOVIE IVE SEEN IN A LONG TIME COZ IT ACTUALLY USED 3D,9J25DZhivz8,2.8
967,2.0,BUT I BET IF YOU PUT THEM NEXT TO THE NEW FILM THAT THE STYLE WOULD BE SIMILAR ENOUGH THAT YOU WOULDNT BE ABLE TO REALLY TELL WHAT THE DIFFERENCE IS,6_0THN4chvY,0.6
358,22.0,I HAVE TO SAY MY FAVORITE CHARACTER IN THE ENTIRE MOVIE IS THE CHARACTER THOMPSON,8OtFthrtaJM,2.0
226,24.0,BUT ITS ITS LIKE SOMEONE MADE YOU A KICK ASS SANDWICH BUT THEY PUT MAYONNAISE ON IT AND YOU DONT LIKE MAYONNAISE AND ITS NOT LIKE TOMATO OR LETTUCE WHERE YOU CAN PICK IT OFF NO ITS GOT IT MAYONNAISE IN ITS ALL OVER EVERYTHING AND NOW YOURE STUCK WITH THIS KICK ASS SANDWICH THAT WOULD BE KICK ASS IF IT DIDNT HAVE MAYONNAISE ON IT BUT IT HAS MAYONNAISE ON IT OR YOU GO MAKE ANOTHER SANDWICH GO MAKE ANOTHER SANDWICH,f9O3YtZ2VfI,-2.6
1087,18.0, THE ALIENS ARE REALLY COOL,2WGyTLYerpo,2.2
926,19.0, AND HIS PERFORMANCE IS CAMPY AND COMES OFF AS AN ARMY CHEERLEADER SOME OF THE TIME,nzpVDcQ0ywM,-2.0
853,7.0,UM CERTAINLY THERE ARE SOME SCENES WHERE I THINK SOME OF THE WOMEN ARE GONNA FEEL MORE THE EMOTION OF IT,Jkswaaud0hk,0.2
1448,30.0,JOE MOVIE IS HOW INTERNATIONAL IT WAS IT WAS VERY DIVERT,wMbj6ajWbic,0.8
1181,11.0,I DID LIKE THE SECOND ONE,BvYR0L6f2Ig,0.6
1533,30.0,ITS NOT LIKE THE GREEN LANTERN IS THE NEXT BATMAN BEGINS OR OR THE DARK NIGHTER ,2iD-tVS8NPw,-0.4
1417,14.0,UNLESS YOUR KIDS ARE DYING TO SEE IT ID WAIT FOR THE DVD,dq3Nf_lMPnE,-1.8
343,7.0, THANKS A LOT COMMERCIAL,8OtFthrtaJM,-1.4
540,23.0,AND THIS IS THE WORST BY FAR,d6hH302o4v8,-2.6
620,23.0,UM I ENJOYED MYSELF IN IT YOU MIGHT AS WELL,yDtzw_Y-7RU,2.2
627,6.0,AND I HAVE TO SAY THAT IT WAS DEFINATELY BETTER THAN THE SAW 4,Ci-AH39fi3Y,1.6
90,10.0,I DID LIKE THE FOURTH ONE QUITE A BIT,k5Y_838nuGo,2.0
691,7.0,AND MOST OF YOU KNOW HES A PRETTY FUNNY GUY ,_dI--eQ6qVU,1.8
565,5.0, I WAS LIKE YOU KNOW THEYRE BOTH HASBRO TOYS THEYRE BOTH MOVES THAT ARE COM MADE FOR CHILDREN,etzxEpPuc6I,0.0
510,12.0,LIKE TH THIS THING ISNT REALLY A BIG DEAL BUT UM I I DDINT LIKE THE FACT THAT JOHN HAD AN IPHONE,73jzhE8R1TQ,-1.2
1494,7.0,AND I LIKED WALLY,tStelxIAHjw,1.4
595,16.0, DEFINATELLY A LITTLE BIT ABOVE AVERAGE,Dg_0XKD0Mf4,1.2
523,6.0,NO ONE TAKES HIM SERIOUSLY,d6hH302o4v8,-2.0
1296,32.0,HMM YEAH SKIP IT,c7UH_rxdZv4,-2.2
436,16.0, BECAUSE ITS GOOD TO SIT RIGHT IN THE MIDDLE OF THE THEATER WITH 3D,LSi-o-IrDMs,0.6
442,22.0,AND IT MAKES IT WORTH GOING TO SEE THIS MOVIE IF YOUVE GOT UM THE DOLBY 3D SOMEWHERE IN YOUR TOWN,LSi-o-IrDMs,1.8
1152,20.0,AND THATS BECAUSE ABOUT HALF WAY THROUGH THE MOVIE I REALIZED THAT THIS IS JUST ITS REALLY JUST A CARTOON,8qrpnFRGt2A,-0.8
382,1.0,AND I WAS PRETTY OPEN TO TO IT BEING GOOD,I5y0__X72p0,0.6
276,4.0,BUT AFTER AN HOUR I JUST SAID ENOUGH I HAD TO WALK OUT,ZAIRrfG22O0,-2.4
256,6.0,AND A FEW TIMES I DIDNT LIKE THE FASHION,Bfr499ggo-0,-1.2
590,11.0,BUT OVERALL I ENJOYED IT,Dg_0XKD0Mf4,1.6
1095,26.0,I IT WAS REALLY COOL WHEN THEY DID THAT,2WGyTLYerpo,1.8
545,28.0, BUT THE LAST HALF HOUR OF THE MOVIE IT FELT LIKE THEY HAD ADDED LIKE A CGI ORGASM ,d6hH302o4v8,-1.0
984,5.0,BUT I WAS STILL RIDICILOUSLY ENTERTAINED BY IT,QN9ZIUWUXsY,2.6
227,25.0, THIS MOVIE IS JUST NOT QUITE GOOD ENOUGH,f9O3YtZ2VfI,-1.4
1434,16.0,BUT YOU KNOW THIS MOVIE UM THIS REALLY UM WOULDVE MADE UP FOR A DISAPPOINTMENT THAT IT HAD A TERMINATOR SALVATION,wMbj6ajWbic,-0.4
1342,24.0,UM FRED DUKES IS THE BLOB ,cW1FSBF59ik,0.0
1131,62.0, A VERY GOOD TIME,2WGyTLYerpo,2.2
782,5.0,THE VISUALS WERE GREAT,9J25DZhivz8,1.8
1256,8.0,WHAT DISAPPOINTED ME WAS THAT ONE OF THE MOST HYPED ACTORS IN THE MOVIE WAS ONLY IN THERE FOR SHORT AMOUNT OF TIME,pLTX3ipuDJI,-2.0
658,37.0,BUT LIKE I SAID THE PLOT OF HOFFMAN AND EVERYTHING THAT WAS REALLY REALLY AWESOME ,Ci-AH39fi3Y,2.6
105,25.0,THOSE ARE QUOTE IN THIS MOVIE THAT SOUNDED SO DIRTY COMING OUT ,k5Y_838nuGo,-0.2
907,16.0,AND SOMETHING THAT I CANT FIND ANYTHING ELSE TO COMPARE IT TO,Iu2PFX3z_1s,1.33333333333
562,2.0, CUZ ITS LIKE THE DUDE THAT MADE THE TECHNOLOGIES I I CANT RUIN THE MOVIE ,etzxEpPuc6I,1.2
352,16.0, UM YOU KNOW IT HAD SOME INTERESTING WRITING,8OtFthrtaJM,0.6
1419,1.0,BECAUSE I REALLY WANTED TO SEE IT ACTUALLY,wMbj6ajWbic,0.5
1122,53.0,I WASNT A HUGE FAN OF IT,2WGyTLYerpo,-1.0
107,27.0,YES UM SOMETHING ABOUT WAFFLE HOLE AM I THE ONLY ONE AM I PERVERTED NOT TO THINK THAT THAT SOUNDS DIRTY COZ IT TOTALLY DOES WAFFLE HOLE,k5Y_838nuGo,-0.8
966,1.0,AND SO I WAS KIND OF CURIOUS TO SEE MAYBE IF THAT WAS WHAT DISNEY WAS GOING FOR AND IT DEFINATELY WAS WHAT THAY WERE GOING FOR,6_0THN4chvY,1.6
1482,25.0,IT DOESNT MAKE ANY SENSE ,BioHAh1qJAQ,-1.6
1375,1.0, NOW THIS MOVIE IS JUST RIDICULOUS AND I I THOUGHT IT WAS EXCELLENT,Qr1Ca94K55A,3.0
188,18.0,THIS AW THIS ONE REALLY COOL ACTION SEQUENCES WHERE LIKE THIS RONNY UH JOHNNY DEPPS POSSE THEY WERE GETTING CHASED BY ALL THESE LIKE POSSUMS,W8NXH0Djyww,2.2
1442,24.0,MARLON WAYANS HAD A LOT OF FUN,wMbj6ajWbic,1.4
1282,18.0,WHAT WA WHAT HES WHAT W WHY YOU HAVE NO SKILLS WHATSOEVER,c7UH_rxdZv4,-2.25
511,13.0, BECAUSE THINK ABOUT IT IF YOU IF YOUR TOP PRIORITY IS SURVIVAL THAN WHY WOULD YOU BE WORRIED ABOUT HAVING THE LATEST TECHNOLOGY YOU KNOW WHAT I MEAN,73jzhE8R1TQ,-0.6
913,6.0, IT WAS REALLY KIND OF DUMB DOWN FOR US,nzpVDcQ0ywM,-1.4
727,15.0,AND I MEAN I DONT KNOW I JUST I FEEL LIKE I DONT MEAN IF I HAVE WASTED THOSE TWO HOURS I JUST FEEL LIKE I COULDVE DONE SOMETHING BETTER WITH THEM,zhpQhgha_KU,-2.0
250,18.0, HE SEEMS TO BE THE ONLY REALISTIC CHARACTER HERE,iiK8YX8oH1E,-1.0
702,18.0,AND ADD SOMETHING LIKE AN EXTRA SPARK IN THERE,_dI--eQ6qVU,0.8
98,18.0,I THOUGH THAT ADULTS WOULD APPRECIATE ,k5Y_838nuGo,0.4
875,9.0,THIS MOVIE ESSENTIALLY WAS MADE FOR THREE REASONS IN MY OPINION,bvLlb-M3UXU,-0.25
408,27.0,THERES SOME REALLY STRANGE CHARACTERS IN THIS MOVIE,I5y0__X72p0,-1.6
1511,8.0,IT LOOKS REALLY GOOD,2iD-tVS8NPw,1.8
1306,9.0,NOW I WONT EVEN TALK ABOUT ACTING COZ ITS JUST SO BAD,atnd_PF-Lbs,-2.8
398,17.0,ITS NOT POLISHED QUITE AS MUCH AS I WOULD LIKE IT TO BE,I5y0__X72p0,-1.0
1356,14.0,AND I HATED HOME ON THE RANGE,cM3Yna7AavY,-2.6
1277,13.0,UM HES JUST A JACK ASS,c7UH_rxdZv4,-2.6
1441,23.0,I THINK UM RACHEL NICHOLS HAD A LOT OF FUN WITH HER ROLE,wMbj6ajWbic,1.8
876,10.0,THE FIRST REASON IS THE OBVIOUS JUST TO MAKE AN EXCITING ENJOYABLE ACTION FILM,bvLlb-M3UXU,1.6
641,20.0,BUT LUCKILY HOFFMANS STORY UM WAS A REALLY REALLY REALLY AWESOME ,Ci-AH39fi3Y,2.8
1028,19.0,AND THERES A VAST DIFFERENCE BETWEEN THOSE TWO THINGS ,7JsX8y1ysxY,-0.2
1301,4.0,SO NO NOW KNOW THIS I AM NOT A FAN OF THE FINAL DESTINATION SERIES,atnd_PF-Lbs,-2.4
1367,9.0,THE PREVIEWS ARE MUCH MORE 3D THE NE SO YEAH IT WAS VERY DISAPPOINTING,OQvJTdtJ2H4,-1.8
928,21.0,AND ITS SH SO SHORT LIVED HE BARELY NEEDS TO EVEN BE THERE ,nzpVDcQ0ywM,-1.4
739,27.0,AND THAT SOME ARE VERY RELATABLE,zhpQhgha_KU,0.8
1180,10.0,THE SECOND ONE HAD WOODEN ACTING IN SOME PLACES IM SORRY,BvYR0L6f2Ig,-1.8
1144,12.0,OK I DONT NEED A THREE HOUR MINI XXX ABOUT JI JOE,8qrpnFRGt2A,-2.0
348,12.0, NOW THE ONLY SUSPENSFUL PART THAT I FOUND IN THE FIRST THIRTY MINUTES OF THE MOVIE WAS WHEN MATT DAMON FIRST DISCOVERS THE BUREAU IN THE FIRST PLACE,8OtFthrtaJM,-0.8
614,17.0,OR MOST LIKELY FROM GOING VERY QUICKLY THROUGH LONDON WITH YOU KNOW DEMON HORSES CHASING YOU SO UH THERES THAT,yDtzw_Y-7RU,0.2
229,27.0,I LIKED ALL THE UM I LIKE THE CAST,f9O3YtZ2VfI,1.6
35,26.0,I DONT EVEN KNOW WHY I REALLY SHOULD BEGIN WITH LISTING OFF THE NEGATIVES BUT IM GOING TO START WITH A FEW OF THE SUPERFICIAL THINGS,Af8D0E4ZXaw,-2.4
854,8.0,THERE ARE SOME FUNNY LINES,Jkswaaud0hk,1.6
102,22.0,UM YEAH THE FOURTH ONE IT DOES HAVE KID HUMOUR DEFINATELLY,k5Y_838nuGo,0.4
1352,10.0,I PERSONALLY I LIKED ATLANTIS,cM3Yna7AavY,1.6
1338,20.0,BUT IN THIS OH MY GOD I LOVE YOU,cW1FSBF59ik,2.5
883,17.0,BUT HEY WHATEVER AND IS SHOWING YEAH MAYBE HES NOT WHAT HE WAS TWENTY TWENTY FIVE YEARS AGO BUT HE STILL HAS EVERY RIGHT TO BE BILLED AS AN ACTION STAR,bvLlb-M3UXU,1.2
1030,21.0,WHO WAS JUST KICK ASS 100 OF TIME WAS THE GUY THAT PLAYED OUR RORSCHACH,7JsX8y1ysxY,1.8
840,16.0,BUT HE WAS ACTUALLY COMPLETE DOUCHEBAG,rnaNMUZpvvg,-1.8
101,21.0, IT DIDNT HAVE THAT MUCH ADULT HUMOUR IN IT ,k5Y_838nuGo,-0.2
1371,13.0, BUT THE CGI WAS GREAT,OQvJTdtJ2H4,1.4
1337,19.0,IVE NEVER SEEN HIM IN ANYTHING ELSE,cW1FSBF59ik,0.2
74,21.0,THE ONLY ACTOR WHO CAN REALLY SELL THEIR LINES IS ERIN ECKART,jUzDDGyPkXU,-1.0
457,8.0,AND REALLY WELL DONE,5W7Z1C_fDaE,2.6
1241,11.0,NUMBER ONE IM GETTING A LITTLE SICK OF THE XXX KIND OF LEAD CHARACTER SORT OF REALLY AWKWARD BOY WHO IS REALLY AWKWARD AND STUFF YOU KNOW IM GETTING SICK OF THAT CHARACTER AND IM TIRED OF IT,MLal-t_vJPM,-2.8
119,8.0,AND IT DEPENDS WHAT AGE YOU ARE AND HOW YOU TO HOW YOU FEEL LIKE SEE THE MOVIE,6Egk_28TtTM,0.8
1083,14.0, THAT SCENE IS LIKE CRAZY,2WGyTLYerpo,0.2
72,19.0,NOTHING IN THIS MOVIE IS CLEVERLY WRITTEN,jUzDDGyPkXU,2.2
1001,4.0,UM EVEN THE KIDS AND THE AUDIENCE ITSELF JUST KIND OF CHUCKLED A LITTLE BIT GAVE A FEW LAUGHS,PZ-lDQFboO8,-1.0
67,14.0,BUT THEY GIVE YOU A GOOD AMOUNT OF INFORMATION ABOUT THEM,jUzDDGyPkXU,0.8
1038,29.0,UM I REALLY LIKED SICKO GUY ,7JsX8y1ysxY,-1.5
425,5.0, IN THIS CASE IT DIDNT TAKE MUCH CONVINCING WHICH IS A LITTLE SILLY,LSi-o-IrDMs,0.0
1280,16.0,HES BORING ,c7UH_rxdZv4,-2.0
1458,1.0,IM A BIG FAN OF THE FIRST TRON,BioHAh1qJAQ,1.4
319,7.0,I REALLY DONT CARE TO SEE THOSE ,OtBXNcAL_lE,-2.0
396,15.0,ITS GOOD ,I5y0__X72p0,0.6
126,3.0,THE COUNTRYSIDE WHICH THEY SHOWED WHILE GOING ACROSS IRELAND WAS ASTOUNDINGLY BLE BEAUTIFUL,TvyZBvOMOTc,2.0
292,11.0,AND SOME OF THE ACTING IS A LITTLE BIT LIKE OH MY GOD YOU WOULDNT REALLY DO THAT,Clx4VXItLTE,-1.2
662,41.0,AND DONT KNOW WHAT THE HELL THEY WERE THINKING,Ci-AH39fi3Y,-2.2
820,18.0,SO YES I REALLY ENJOYED IT,vyB00TXsimI,2.4
1080,11.0,THE ACTION IS REALLY INTENSE WHICH SURPRISED ME ,2WGyTLYerpo,2.2
993,14.0,I MEAN THIS MOVIE HAS THE MOST GORGEOUS VISUALS OUT OF ANY MOVIES SINCE PROBABLY AVATAR ME IF NOT PRETTIER,QN9ZIUWUXsY,2.6
1478,21.0, DISCONNECTION THEN THAT HAPPENS AT THAT POINT,BioHAh1qJAQ,-0.8
683,18.0,IT ITS ALMOST LIKE UM IMAGINING TARANTINO DIRECTED A ZOMBIE MOVIE,d3_k5Xpfmik,0.8
1262,14.0,ITS A POINTLESS SCENE FOR THE AUDIENCE AND THE CHARACTERS,pLTX3ipuDJI,-2.0
653,32.0,BECAUSE THE MOVIE IS GOOD,Ci-AH39fi3Y,2.0
34,25.0, AND IT WAS PAINFUL TO WATCH,Af8D0E4ZXaw,-2.6
629,8.0,BUT IT WAS STILL REALLY REALLY REALLY GOOD,Ci-AH39fi3Y,2.2
1242,12.0, AND I GET ANGRY ABOUT IT LAUGHTER XXX DOESNT PLAY BEST CHARACTER IN THE FILM ,MLal-t_vJPM,-2.0
311,30.0,ITS KIND OF LIKE QUITE FAKE LIKE I JUST I COULDNT BELIEVE IT I WAS LIKE WHAT WHAT ARE YOU DOING,Clx4VXItLTE,-2.25
1263,15.0,IT DOSENT GIVE AN GIVE ANY INSIGHT OR HELP ITS JUST MAKE THEM SEEM LIKE SHE SA SHE SAW THE FIRST MOVIE,pLTX3ipuDJI,-1.4
345,9.0,BUT I MUST SAY THOSE ARE SOME PRETTY BIG SHOES TO FILL SO I THOUGHT MAYBE IT HAS A CHANCE,8OtFthrtaJM,0.4
765,18.0, UM YOU CARED YOU THERE WAS ENOUGH IN THERE FOR YOU TO CARE ABOUT HIM,8d-gEyoeBzc,0.6
418,37.0,I DID LIKE KIND OF LIKE THE ACTION,I5y0__X72p0,1.0
330,18.0,AND BLAH BLAH BLAH,OtBXNcAL_lE,-0.6
58,5.0,BUT IT DIDNT TURN OUT QUITE NEARLY AS AWESOME AS THAT MOVIE DID,jUzDDGyPkXU,-1.2
1004,7.0,EVERYTHING YOU SEE IN THE TRAILER ITSELF WAS PRETTY MUCH ALL THE HUMOR YOURE GONNA SEE IN THE MOVIE,PZ-lDQFboO8,-1.6
703,19.0,THAT MAKES IT MORE VISUALLY TRULY APPEALING,_dI--eQ6qVU,1.4
746,34.0,AND SHE REALLY ENJOYED THE FILM,zhpQhgha_KU,1.2
672,7.0,AND UM WHILE ALSO MAINTAINS ITS KIND OF DETACHED UM SATIRE OF THE GENRE,d3_k5Xpfmik,0.4
370,11.0,OR SOMETHING I WOULD RECOMMEND,WKA5OygbEKI,-0.6
216,14.0,JUST GIVE ME A NICE INTERESTING CHOKE,f9O3YtZ2VfI,1.2
355,19.0,BUT JUST ASIDE FROM THAT THEY REALLY DROPPED THE BALL ON THE SUSPENSFUL PARTS,8OtFthrtaJM,-2.2
143,5.0, IS IT GONNA BE GOOD ,Nzq88NnDkEk,-0.2
716,4.0, I MEAN THAT SOUNDS REALLY HARSH,zhpQhgha_KU,-1.6
1130,61.0,IT WAS REALLY FUN,2WGyTLYerpo,1.4
197,27.0,UM DEFINITELY RECOMMEND CHECKING SEEING THIS UH CHECKING THIS MOVIE OUT,W8NXH0Djyww,1.4
1392,4.0,WHAT I LIKED ABOUT THIS MOVIE WAS THE CONCEPT WAS COOL,c5xsKMxpXnc,2.0
971,6.0,WEVE GOT GREAT JOKES,6_0THN4chvY,1.6
11,2.0,IT WAS WIDELY BELIEVED THAT A SUCESS OF GREEN LANTERN MOVIE WOULD LEAD WARNER BROTHERS TO ADAPT THE FLASH AND WONDER WOMAN AMONG POSSIBLY OTHERS ,Af8D0E4ZXaw,0.8
578,18.0, THERE WAS PARTS THIS IVE SEEN SOME CREATIVE DEPTHS IN THIS MOVIE IVE NEVER SEEN BEFORE,etzxEpPuc6I,1.4
1015,6.0,I THOUGHT THAT WAS REALLY FUNNY,7JsX8y1ysxY,1.6
61,8.0, BUT NEVERTHELESS ANOTHER REALLY COOL THING ABOUT THIS MOVIE,jUzDDGyPkXU,1.8
383,2.0,I AT FIRST WHEN I SAW THE PREVIEWS I THOUGHT IT WAS GONNA BE STUPID TO BE PERFECTLY HONEST,I5y0__X72p0,-0.8
868,2.0,ITS NOT A COMPELLING NARRATIVE BY ANY MEANS,bvLlb-M3UXU,-2.2
57,4.0,9 ITS LIKE SOMEONE WATCHED THE THIRD ACT OF DISTRICT 9 A BUNCH OF TIMES LIKE LETS MAKE THIS INTO AN ENTIRE MOVIE ITLL BE AWESOME AND THATS PRETTY MUCH WHAT THEY DID HERE,jUzDDGyPkXU,-1.6
450,1.0, PROBABLY ONE OF THE BALLSIEST PROBABLY ONE OF THE BALLSIEST FIMS OD SUNDANCE 2011,5W7Z1C_fDaE,2.0
1009,12.0,BUT AS FAR AS KUNG FU PANDA GOES I WAS HOPING FOR A LOT MORE IT JUST WASNT THERE FOR ME I DONT KNOW,PZ-lDQFboO8,-1.6
932,1.0,UM ID LIKE TO QUICKLY TALK ABOUT MACHETE ,tmZoasNr4rU,0.0
424,4.0,YOU JUST CANT WALK IN EXOPECTING ANYTHING OTHER THAN THAT,LSi-o-IrDMs,-0.6
439,19.0,UM THE COLOR LOOKED GREAT ,LSi-o-IrDMs,2.0
473,24.0,YEAP ABSOLUTELY NOT TO BE MISSED,5W7Z1C_fDaE,2.4
1136,4.0,AND I UM PRETTY MUCH IT PRETTY MUCH MET MY LOW EXPECTATIONS FOR THE MOST PART,8qrpnFRGt2A,-1.4
580,1.0, I MEAN IT STARTS OUT REALLY SLOW,Dg_0XKD0Mf4,-1.0
377,18.0,UM I I WOULD YEAH I WOULD RECOMMEND IT IF YOU HAVE LITTLE KIDS,WKA5OygbEKI,1.0
634,13.0,AND THE IRRELEVANT PLOT WAS WITH FIVE RENDOM STRANGERS ,Ci-AH39fi3Y,-1.2
722,10.0,UM I MEAN IF YOU REALLY LIKE THE SHOW AND YOU REALLY LIKED THE FIRST MOVIE AND YOU STILL WANNA GO AND SEE THIS IM NOT GONNA DISCOURAGE YOU FROM SEEING IT,zhpQhgha_KU,0.6
255,5.0,IF YOUR PET PEES CARRIE WORE THOSE HORRENDOUS HIDEOUS HATS THEY WERE NOT CATCHING THE BALL,Bfr499ggo-0,-1.8
130,7.0,ITS A FUN CHICK FLICK ,TvyZBvOMOTc,1.6
1187,17.0,ANYWAY MARY ELIZABETH WINSTEAD OH MY GOD SHE IS A TERIFFIC,BvYR0L6f2Ig,2.0
15,6.0,YEAH NOT GOOD,Af8D0E4ZXaw,-2.0
